lon,lat,name,address,pname,cityname,business_area,type
103.997420,30.979730,彭州市天彭镇林兵货运部,[],四川省,成都市,,生活服务;物流速递;物流速递
104.035604,30.993372,菜鸟驿站(成都彭州九尺希望路36号店),九尺镇观音泉南街122-124号,四川省,成都市,,生活服务;物流速递;物流速递
103.930635,30.982956,材料配送中心,绣城北路42号附近,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.941190,30.979607,兄弟配送,西南市街273号附近,四川省,成都市,天彭,生活服务;中介机构;中介机构
103.856152,31.063205,成都坤文运输有限公司,[],四川省,成都市,,生活服务;物流速递;物流速递
103.767650,31.028770,菜鸟驿站(成都彭州丰乐场广场北街二号店),桂花镇丰乐场广场北街二号,四川省,成都市,,生活服务;物流速递;物流速递
103.958432,30.996579,韵达EXPRESS回龙西路服务站,[],四川省,成都市,,生活服务;物流速递;物流速递
103.969372,30.988577,潮康农产品配送,七号支渠路,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.946240,30.995697,农门的水彭州配送部,朝阳北路69东60米,四川省,成都市,,生活服务;物流速递;物流速递
103.907851,30.998927,菜鸟驿站(成都彭州牌坊村2组39号店),天彭街道牌坊村2组39号白马中学对面白马文具副食店,四川省,成都市,,生活服务;物流速递;物流速递
104.105118,31.020527,菜鸟驿站(成都彭州三界裕民路132号店),濛阳街道裕民路132号,四川省,成都市,,生活服务;物流速递;物流速递
103.963250,30.951120,菜鸟驿站(成都彭州白鹿河西路162号店),白鹿河西路162号蜀南超市,四川省,成都市,,生活服务;物流速递;物流速递
103.933030,30.947580,菜鸟驿站(成都彭州万都城店),致和街道西河西路333号,四川省,成都市,,生活服务;物流速递;物流速递
104.125950,30.934070,菜鸟驿站(成都蒙阳杨湾小区踏水巷2号店),蒙阳镇踏水巷2号,四川省,成都市,,生活服务;物流速递;物流速递
103.932728,30.953271,沁林物流,致和镇成都国际医药港C3栋,四川省,成都市,,生活服务;物流速递;物流速递
103.939322,31.087650,韵达EXPRESS楠木寄存点,[],四川省,成都市,,生活服务;物流速递;物流速递
104.021312,31.026177,顺丰速运,兴农街与文学街交叉路口往西南约100米,四川省,成都市,,生活服务;物流速递;物流速递
103.936331,30.973605,友义货运,天彭镇来寿路107号,四川省,成都市,,生活服务;物流速递;物流速递
103.933344,30.963721,菜鸟驿站(成都彭州育才路701号店),天彭街道致和街道育才路701号,四川省,成都市,,生活服务;物流速递;物流速递
103.917749,30.929111,菜鸟驿站(成都彭州太平路北段116号店),致和街道太平社区太平路北段116号,四川省,成都市,,生活服务;物流速递;物流速递
103.931633,30.944170,菜鸟驿站(成都彭州黑龙泉小区店),致和街道黑龙泉小区6栋1单元1号游春贵副食店,四川省,成都市,,生活服务;物流速递;物流速递
103.955850,30.924310,菜鸟驿站(成都彭州福兴大道63号附1号店),致和镇百祥村福兴大道63号附1号,四川省,成都市,,生活服务;物流速递;物流速递
103.930638,30.974327,菜鸟驿站(成都彭州顾繁新居店),天彭街道天彭街道繁兴路271-275号家家优超市,四川省,成都市,,生活服务;物流速递;物流速递
104.006470,31.142340,菜鸟驿站(成都红岩会元街27号店),敖平镇会元街27号,四川省,成都市,,生活服务;物流速递;物流速递
103.927131,30.980590,百世快运(彭州市一部),天人路119号,四川省,成都市,,生活服务;物流速递;物流速递
103.937980,30.983130,菜鸟驿站(成都彭州西南市街45号店),天彭街道西南市街45号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.791967,31.241421,菜鸟驿站(成都龙门山顺河路60号店),龙门山镇顺河路60号,四川省,成都市,,生活服务;物流速递;物流速递
103.950520,30.972988,菜鸟驿站(成都彭州双龙路南5巷91号店),天彭街道双龙路南5巷91号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.948181,30.984066,菜鸟驿站(成都彭州东顺苑东大街233号店),天彭街道东大街233号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.941854,30.982564,菜鸟驿站(成都彭州香溢街2号店),天彭街道天彭镇香溢街2号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.932981,30.977553,菜鸟驿站(成都彭州天佑嘉园店),天彭街道天彭街道办成都周边天府西路369号川铁天佑嘉园,四川省,成都市,,生活服务;物流速递;物流速递
103.934484,30.990485,公德家庭服务中心,体育场东街116号附近,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.937263,31.001771,陈老五饲料配送中心,[],四川省,成都市,,生活服务;物流速递;物流速递
104.004101,31.143044,红岩邮政代办所,红岩镇向阳街137号,四川省,成都市,,生活服务;邮局;邮局
103.936160,30.995120,菜鸟驿站(成都彭州农贸市场店),天彭街道龙锦路20号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.960358,30.948118,菜鸟驿站(成都彭州护国林小区店),天彭街道万护路98号,四川省,成都市,致和,生活服务;物流速递;物流速递
103.757689,31.189458,大盟集运有限公司,千喜街与罗阳路交叉路口西侧,四川省,成都市,,公司企业;公司;公司|生活服务;物流速递;物流速递
103.942852,30.998321,菜鸟驿站(成都彭州上河新界店),天彭街道朝阳北路116号附1号上河新界小区正大门旁边,四川省,成都市,,生活服务;物流速递;物流速递
104.124848,30.944120,老铺子配送中心,[],四川省,成都市,,生活服务;物流速递;物流速递
103.956688,30.963447,菜鸟驿站(成都海德花园店),致和镇青白江北路43号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.935114,30.985170,菜鸟驿站(成都彭州城市花园店),天彭街道翠湖东路85号,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.117117,30.949271,泰来配送,蒙阳镇学子路30号,四川省,成都市,,生活服务;物流速递;物流速递
104.123431,30.945799,杨氏商超配送,[],四川省,成都市,,生活服务;物流速递;物流速递
104.113019,30.941301,四川欣康绿分拣配送中心,濛兴中路与物流大道中段交叉路口往南约50米,四川省,成都市,,生活服务;物流速递;物流速递
